Avaliação;Rede;Ano Escolar;Componente Curricular;Turma;Estudante;Avaliado;Níveis de Aprendizagem;H 01;H 02;H 03;H 04;H 05;H 06;H 07;H 08;H 09;H 10;H 11;H 12;H 13
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 1;Sim;Aprendizado Intermediário; 2 / 2; 1 / 1; 1 / 2; 1 / 3; 1 / 1; 1 / 3; 0 / 2; 1 / 1; 2 / 3; 0 / 1; 1 / 1; 1 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 2;Sim;Aprendizado Intermediário; 2 / 2; 1 / 1; 0 / 2; 2 / 3; 1 / 1; 1 / 3; 0 / 2; 0 / 1; 2 / 3; 1 / 1; 0 / 1; 1 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 3;Sim;Defasagem; 1 / 2; 1 / 1; 1 / 2; 0 / 3; 0 / 1; 2 / 3; 0 / 2; 0 / 1; 2 / 3; 1 / 1; 0 / 1; 1 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 4;Sim;Aprendizado Adequado; 2 / 2; 1 / 1; 2 / 2; 2 / 3; 1 / 1; 2 / 3; 2 / 2; 0 / 1; 2 / 3; 0 / 1; 0 / 1; 1 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 5;Sim;Defasagem; 1 / 2; 1 / 1; 1 / 2; 0 / 3; 0 / 1; 2 / 3; 0 / 2; 0 / 1; 1 / 3; 0 / 1; 0 / 1; 1 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 6;Sim;Defasagem; 1 / 2; 0 / 1; 0 / 2; 1 / 3; 0 / 1; 0 / 3; 0 / 2; 1 / 1; 1 / 3; 0 / 1; 0 / 1; 0 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 7;Sim;Aprendizado Intermediário; 2 / 2; 1 / 1; 1 / 2; 2 / 3; 0 / 1; 2 / 3; 0 / 2; 1 / 1; 2 / 3; 0 / 1; 0 / 1; 1 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 8;Sim;Aprendizado Intermediário; 2 / 2; 1 / 1; 1 / 2; 1 / 3; 1 / 1; 3 / 3; 0 / 2; 1 / 1; 1 / 3; 0 / 1; 0 / 1; 1 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 9;Não;-; -; -; -; -; -; -; -; -; -; -; -; -; -
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 10;Sim;Defasagem; 1 / 2; 0 / 1; 0 / 2; 3 / 3; 0 / 1; 0 / 3; 0 / 2; 0 / 1; 2 / 3; 1 / 1; 0 / 1; 0 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 11;Sim;Defasagem; 2 / 2; 0 / 1; 1 / 2; 1 / 3; 1 / 1; 2 / 3; 0 / 2; 0 / 1; 1 / 3; 0 / 1; 0 / 1; 0 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 12;Sim;Aprendizado Adequado; 2 / 2; 1 / 1; 2 / 2; 2 / 3; 1 / 1; 3 / 3; 1 / 2; 1 / 1; 2 / 3; 1 / 1; 1 / 1; 1 / 1; 1 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;A;ALUNO 13;Sim;Defasagem; 1 / 2; 1 / 1; 0 / 2; 1 / 3; 1 / 1; 2 / 3; 1 / 2; 1 / 1; 1 / 3; 0 / 1; 1 / 1; 0 / 1; 0 / 1
