Avaliação;Rede;Ano Escolar;Componente Curricular;Turma;Estudante;Avaliado;Níveis de Aprendizagem;H 01;H 02;H 03;H 04;H 05;H 06;H 07;H 08;H 09;H 10;H 11;H 12;H 13;H 14;H 15;H 16;H 17;H 18;H 19
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 1;Sim;Defasagem; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 2 / 3; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 2; 0 / 1; 0 / 1; 1 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 2;Sim;Defasagem; 0 / 1; 0 / 1; 0 / 1; 1 / 1; 3 / 3; 0 / 1; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 2; 1 / 1; 0 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 3;Sim;Defasagem; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 3; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 1; 1 / 2; 0 / 1; 0 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 4;Sim;Aprendizado Intermediário; 0 / 1; 1 / 1; 1 / 1; 1 / 1; 2 / 3; 0 / 1; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 1; 1 / 1; 1 / 2; 1 / 1; 0 / 1; 1 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 5;Sim;Defasagem; 0 / 1; 0 / 1; 1 / 1; 0 / 1; 0 / 3; 1 / 1; 0 / 1; 1 / 1; 0 / 1; 0 / 1; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 2; 1 / 1; 1 / 1; 1 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 6;Sim;Defasagem; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 3; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 1; 0 / 1; 0 / 1; 1 / 1; 0 / 1; 1 / 2; 0 / 1; 0 / 1; 1 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 7;Sim;Defasagem; 0 / 1; 1 / 1; 1 / 1; 0 / 1; 2 / 3; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 1; 0 / 2; 0 / 1; 0 / 1; 0 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 8;Sim;Defasagem; 0 / 1; 1 / 1; 1 / 1; 1 / 1; 2 / 3; 0 / 1; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 1; 0 / 1; 0 / 2; 0 / 1; 0 / 1; 1 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 9;Não;-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 10;Sim;Defasagem; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 3; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 1; 0 / 2; 0 / 1; 0 / 1; 1 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 11;Sim;Aprendizado Intermediário; 0 / 1; 1 / 1; 1 / 1; 0 / 1; 3 / 3; 0 / 1; 1 / 1; 0 / 1; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 2; 0 / 1; 0 / 1; 1 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 12;Sim;Aprendizado Adequado; 0 / 1; 1 / 1; 0 / 1; 1 / 1; 3 / 3; 1 / 1; 1 / 1; 1 / 1; 1 / 1; 0 / 1; 0 / 1; 1 / 1; 0 / 1; 1 / 1; 0 / 1; 0 / 2; 1 / 1; 1 / 1; 1 / 1
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;A;ALUNO 13;Sim;Defasagem; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 2 / 3; 1 / 1; 0 / 1; 1 / 1; 0 / 1; 1 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 0 / 1; 1 / 2; 0 / 1; 0 / 1; 1 / 1
